title,text,subject,date
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,10-09-2013
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,22-02-2020
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,11-03-2020
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,02-07-2020
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,21-04-2016
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,24-03-2006
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,13-08-2014
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,30-04-2003
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,27-08-2023
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,23-11-2015
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,20-01-2007
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,18-06-2016
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,17-06-2018
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,06-09-2006
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,01-10-2016
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,24-12-2019
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,03-12-2001
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,06-10-2019
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,04-03-2008
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,01-01-2016
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,25-06-2009
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,09-03-2023
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,08-01-2020
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,10-07-2002
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,19-12-2022
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,23-03-2022
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,31-12-2001
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,20-12-2000
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,03-02-2006
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,25-12-2016
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,03-08-2001
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,07-11-2021
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,21-08-2010
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,28-01-2003
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,02-09-2008
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,18-11-2000
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,13-01-2020
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,31-01-2000
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,16-10-2021
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,06-05-2021
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,05-11-2016
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,08-09-2012
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,23-01-2012
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,20-05-2015
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,14-04-2019
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,15-09-2008
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,07-03-2018
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,14-06-2024
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,17-02-2020
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,18-10-2014
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,05-05-2022
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,01-11-2007
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,26-04-2004
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,04-11-2002
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,27-09-2008
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,02-04-2007
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,25-08-2005
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,20-07-2011
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,12-09-2011
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,15-02-2009
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,09-05-2021
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,12-05-2016
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,26-12-2024
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,14-02-2001
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,26-02-2008
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,29-06-2010
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,06-03-2020
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,30-12-2000
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,10-01-2022
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,17-03-2022
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,20-06-2013
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,01-11-2004
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,27-05-2008
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,23-01-2006
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,29-08-2004
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,10-05-2011
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,14-01-2019
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,24-08-2006
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,30-10-2005
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,14-05-2023
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,06-07-2021
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,04-09-2013
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,20-11-2010
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,15-01-2022
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,23-06-2023
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,26-08-2001
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,30-05-2003
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,13-02-2010
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,06-10-2008
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,27-06-2005
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,08-11-2008
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,10-10-2010
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,29-01-2006
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,02-12-2003
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,01-11-2015
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,29-09-2011
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,08-08-2002
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,06-05-2009
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,27-06-2015
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,28-01-2023
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,11-08-2012
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,10-09-2022
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,17-10-2014
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,02-05-2005
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,01-02-2021
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,27-01-2011
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,18-05-2014
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,05-02-2015
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,02-06-2023
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,26-06-2011
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,02-06-2018
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,07-01-2009
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,28-02-2002
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,19-02-2022
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,15-11-2003
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,31-10-2023
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,20-09-2010
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,17-02-2019
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,25-11-2017
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,29-02-2016
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,15-04-2000
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,10-01-2009
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,23-05-2007
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,17-01-2018
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,27-07-2015
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,18-03-2024
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,04-04-2014
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,15-01-2020
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,15-06-2014
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,20-10-2020
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,04-08-2005
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,09-03-2020
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,15-09-2023
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,01-02-2004
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,21-10-2017
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,17-08-2012
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,12-07-2023
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,16-06-2012
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,16-10-2007
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,28-10-2009
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,16-01-2004
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,03-01-2008
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,31-08-2003
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,18-02-2020
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,15-06-2003
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,03-01-2015
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,03-07-2007
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,15-03-2015
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,05-07-2004
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,29-08-2019
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,22-03-2001
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,24-10-2018
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,20-09-2001
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,20-01-2002
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,26-06-2021
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,13-04-2004
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,29-08-2017
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,12-07-2013
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,07-11-2007
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,10-05-2002
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,28-10-2006
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,10-02-2005
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,25-08-2000
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,28-08-2007
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,14-01-2015
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,25-01-2004
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,17-06-2022
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,16-08-2015
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,31-01-2012
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,28-07-2021
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,03-08-2015
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,04-08-2005
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,11-03-2010
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,21-06-2024
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,16-10-2018
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,08-03-2008
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,11-02-2006
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,23-01-2011
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,25-05-2022
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,15-04-2018
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,05-10-2004
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,03-12-2000
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,14-01-2019
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,11-11-2022
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,26-10-2012
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,07-04-2019
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,30-07-2011
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,13-06-2006
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,20-05-2014
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,10-07-2000
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,23-05-2011
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,05-09-2018
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,24-10-2004
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,08-05-2020
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,30-05-2021
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,01-11-2004
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,02-08-2001
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,22-12-2001
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,01-06-2011
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,06-08-2005
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,04-04-2013
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,21-08-2022
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,24-09-2012
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,13-05-2011
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,08-05-2014
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,17-04-2022
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,24-12-2013
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,07-11-2017
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,21-06-2019
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,24-05-2002
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,15-10-2012
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,21-10-2011
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,08-02-2001
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,17-02-2018
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,01-12-2007
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,05-03-2004
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,29-11-2012
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,15-03-2008
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,10-07-2016
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,13-04-2024
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,18-12-2023
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,20-04-2024
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,27-08-2018
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,30-05-2011
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,01-05-2005
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,30-05-2024
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,23-08-2018
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,26-10-2015
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,13-11-2019
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,05-03-2017
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,24-04-2021
Amazon was founded by Jeff Bezos in 1994....,Amazon was founded by Jeff Bezos in 1994.,Companies,18-04-2018
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,01-09-2005
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,21-08-2018
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,04-11-2019
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,19-07-2003
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,22-05-2006
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,30-04-2010
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,10-12-2017
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,26-01-2015
The FIFA World Cup is held every four years....,The FIFA World Cup is held every four years.,Current Affairs,12-06-2006
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,29-11-2021
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,25-08-2007
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,28-03-2021
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,31-07-2014
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,17-08-2000
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,18-06-2014
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,13-10-2014
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,01-09-2010
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,12-06-2018
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,28-08-2024
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,21-01-2021
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,13-11-2019
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,29-08-2002
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,29-06-2024
"Apple Inc. was founded by Steve Jobs, Steve Woznia...","Apple Inc. was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne.",Companies,03-12-2014
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,08-10-2004
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,19-10-2000
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,16-09-2012
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,14-02-2008
The U.S. Constitution was signed in 1787....,The U.S. Constitution was signed in 1787.,Politics,15-07-2015
Sundar Pichai is the CEO of Google....,Sundar Pichai is the CEO of Google.,CEOs,30-09-2001
Elon Musk is the CEO of Tesla and SpaceX....,Elon Musk is the CEO of Tesla and SpaceX.,CEOs,16-07-2021
The COVID-19 pandemic began in 2019....,The COVID-19 pandemic began in 2019.,Current Affairs,14-03-2014
The United Nations was established in 1945....,The United Nations was established in 1945.,Politics,28-07-2020
